MAE,RMSE,R2
849737688829185.2,9564748277989702.0,-3.1221758092178907e+19
277518.1054517568,803956.3448944296,0.7794153950885941
266474.2523708705,770586.7949011754,0.7973468355586572
227210.92424242425,869710.6310018938,0.7418573154415118
171660.6360994709,663951.5552900642,0.8495531670639259
268349.7060518603,700248.7805105264,0.8326541344935802
